Text	No. words in text	No. hits in text	Freq. per hundred	language
0258f	6809	49	0.719636	B
0258g	1398	1	0.071531	B
0258h	1860	8	0.430108	B
0258i	4377	7	0.159927	B
0258j	3382	10	0.295683	B
0258l	1352	1	0.073964	B
0259a	6375	11	0.172549	B
0259b	6587	12	0.182177	B
0259c	6001	5	0.083319	B
0259d	5894	10	0.169664	B
0260a	1722	9	0.522648	B
0260b	1697	12	0.70713	B
0260c	2324	14	0.60241	B
0260d	2156	6	0.278293	B
0260e	2059	8	0.388538	B
0260f	1565	5	0.319489	B
0260g	1422	4	0.281294	B
0261a	2583	4	0.154859	B
0261b	2572	3	0.116641	B
0261c	2222	4	0.180018	B
0261d	2660	5	0.18797	B
0261e	2525	4	0.158416	B
0262a	2236	9	0.402504	B
0262b	918	3	0.326797	B
0262c	4926	7	0.142103	B
0262d	2363	10	0.423191	B
0262e	2244	6	0.26738	B
0262g	1508	13	0.862069	B
0263b	3292	2	0.060753	B
0263d	4319	28	0.648298	B
0263e	1086	1	0.092081	B
0263f	1603	12	0.748596	B
0263g	3704	4	0.107991	B
0263h	1793	8	0.44618	B
0263i	892	1	0.112108	B
0264a	3338	12	0.359497	B
0264b	3662	37	1.010377	B
0264c	3741	24	0.64154	B
0265a	3350	1	0.029851	B
0265b	3293	9	0.273307	B
0265c	3338	12	0.359497	B
0265d	3272	5	0.152812	B
0265e	2500	3	0.12	B
0267a	2637	1	0.037922	B
0267c	5409	8	0.147902	B
0269a	3508	8	0.22805	B
0269b	2977	6	0.201545	B
0269c	3295	8	0.242792	B
0269d	1743	4	0.229489	B
0271a	1505	2	0.13289	B
0271b	1894	1	0.052798	B
0271c	2869	6	0.209132	B
0271d	1866	2	0.107181	B
0272a	1967	8	0.406711	B
0272b	1962	15	0.764526	B
0272c	1873	6	0.320342	B
0272d	2060	2	0.097087	B
0272e	5708	40	0.700771	B
0274a	1136	2	0.176056	B
0275a	3733	38	1.017948	B
0275b	3474	10	0.287853	B
0275c	3382	24	0.709639	B
0276a	1891	10	0.528821	B
0276b	1890	4	0.21164	B
0276c	2747	6	0.21842	B
0276d	3253	10	0.307409	B
0276e	1891	4	0.211528	B
0276f	6997	28	0.400172	B
0276g	1640	5	0.304878	B
0276h	1828	1	0.054705	B
0277a	2169	14	0.645459	B
0277c	1680	18	1.071429	B
0278a	2365	2	0.084567	B
0278b	2909	13	0.446889	B
0278c	1941	3	0.15456	B
0278d	1876	6	0.319829	B
0280a	6448	8	0.124069	B
0280b	2835	2	0.070547	B
0280c	2692	11	0.408618	B
0280d	2224	7	0.314748	B
0280e	2564	4	0.156006	B
0280f	2402	7	0.291424	B
0280g	2457	6	0.2442	B
0280h	2877	6	0.208551	B
0280i	1955	1	0.051151	B
0280j	7220	1	0.01385	B
0281a	2429	5	0.205846	B
0281b	5978	4	0.066912	B
0281c	2602	11	0.422752	B
0281d	5831	31	0.531641	B
0284a	1414	7	0.49505	B
0284b	2224	16	0.719424	B
0284c	2266	5	0.220653	B
0284d	2124	9	0.423729	B
0285a	1899	2	0.105319	B
0285b	1202	5	0.415973	B
0285c	1742	5	0.287026	B
0285d	1643	14	0.8521	B
0285e	2199	8	0.363802	B
0287a	2324	6	0.258176	B
0287b	2431	3	0.123406	B
0287c	2138	4	0.187091	B
0287d	2749	6	0.218261	B
0289a	1342	3	0.223547	B
0289b	3526	8	0.226886	B
0289c	1545	8	0.517799	B
0289d	2341	2	0.085434	B
0289e	2070	13	0.628019	B
0290a	2068	20	0.967118	B
0290b	3284	30	0.91352	B
0290c	1321	1	0.0757	B
0290d	2884	17	0.589459	B
0291a	2387	10	0.418936	B
0291b	2881	12	0.416522	B
0291c	3071	6	0.195376	B
0291e	2781	3	0.107875	B
0292a	2795	3	0.107335	B
0292b	2593	4	0.154261	B
0292c	3558	13	0.365374	B
0292d	2560	17	0.664063	B
0292f	7866	52	0.661073	B
0293a	6383	25	0.391665	B
0293b	6165	18	0.291971	B
0293c	2782	9	0.323508	B
0293d	6043	16	0.264769	B
0294a	2432	13	0.534539	B
0294b	3132	3	0.095785	B
0294c	1561	4	0.256246	B
0294d	1333	1	0.075019	B
0294e	1667	3	0.179964	B
0294g	2631	5	0.190042	B
0294h	3540	7	0.19774	B
0294i	2302	4	0.173762	B
0294j	2551	7	0.274402	B
0296a	4183	9	0.215157	B
0296b	2667	1	0.037495	B
0296c	3983	5	0.125534	B
0296d	3636	10	0.275028	B
0296e	2515	8	0.318091	B
0297a	2997	5	0.166834	B
0297b	2910	2	0.068729	B
0298b	2334	4	0.17138	B
0299a	2574	9	0.34965	B
0299b	2002	3	0.14985	B
0300a	2326	3	0.128977	B
0300b	1405	2	0.142349	B
0300c	725	4	0.551724	B
0300d	1977	5	0.252908	B
0300e	1350	3	0.222222	B
0301a	2241	4	0.178492	B
0301b	2790	1	0.035842	B
0302a	3047	5	0.164096	B
0302b	2789	7	0.250986	B
0302c	2187	9	0.411523	B
0302d	1903	34	1.786653	B
0302e	6232	11	0.176508	B
0302f	2346	7	0.29838	B
0302g	614	3	0.488599	B
0302h	6772	19	0.280567	B
0302i	552	2	0.362319	B
0303a	3368	5	0.148456	B
0303b	3322	4	0.120409	B
0303c	2378	5	0.210261	B
0303d	2163	3	0.138696	B
0303e	1621	3	0.185071	B
0303g	1553	6	0.386349	B
0303h	3684	1	0.027144	B
0303i	2782	2	0.071891	B
0303j	2858	5	0.174948	B
0304a	1771	4	0.225861	B
0304b	1883	7	0.371747	B
0306a	5821	9	0.154613	B
0306b	6417	14	0.21817	B
0306c	5745	4	0.069626	B
0306d	3970	11	0.277078	B
0306f	4227	3	0.070972	B
0306g	3348	6	0.179211	B
0306h	3322	7	0.210716	B
0307a	2983	7	0.234663	B
0309a	2076	7	0.337187	B
0310a	2539	1	0.039386	B
0310b	2204	10	0.453721	B
0310c	2387	7	0.293255	B
0310d	2519	10	0.396983	B
0310e	2376	8	0.3367	B
0311a	4207	9	0.213929	B
0311b	5110	7	0.136986	B
0311c	2191	1	0.045641	B
0311d	2528	12	0.474684	B
0311e	5159	7	0.135685	B
0311f	4174	8	0.191663	B
0311g	3600	1	0.027778	B
0311h	3587	3	0.083635	B
0311i	8573	18	0.209962	B
0311k	1660	12	0.722892	B
0311l	4156	9	0.216554	B
0312a	3202	28	0.874453	B
0312b	3308	15	0.453446	B
0312c	3855	18	0.466926	B
0312d	3121	16	0.512656	B
0312e	3244	15	0.462392	B
0312f	3198	20	0.625391	B
0312g	3190	9	0.282132	B
0312h	6149	15	0.243942	B
0312i	3260	10	0.306748	B
0312j	2957	19	0.642543	B
0314a	2846	3	0.105411	B
0314b	3878	5	0.128932	B
0314c	4311	6	0.139179	B
0314d	2401	2	0.083299	B
0314e	1863	3	0.161031	B
0314f	1824	5	0.274123	B
0314g	2362	3	0.127011	B
0314h	2146	8	0.372787	B
0314i	2883	6	0.208117	B
0315a	3556	14	0.393701	B
0315b	2980	13	0.436242	B
0315c	3440	9	0.261628	B
0315d	3921	19	0.48457	B
0315e	3187	17	0.533417	B
0316a	2481	3	0.120919	B
0316b	3593	8	0.222655	B
0316c	3674	3	0.081655	B
0316d	3269	1	0.03059	B
0317a	599	6	1.001669	B
0317b	2482	2	0.08058	B
0318a	2397	4	0.166875	B
0318b	13493	27	0.200104	B
0318c	1715	4	0.233236	B
0318d	2141	7	0.32695	B
0318e	3145	5	0.158983	B
0318f	4880	5	0.102459	B
0318g	3137	3	0.095633	B
0319a	5865	12	0.204604	B
0319b	5322	10	0.187899	B
0320a	2363	7	0.296234	B
0320b	5532	18	0.32538	B
0320c	6210	27	0.434783	B
0320d	2256	9	0.398936	B
0320e	2283	7	0.306614	B
0320f	3066	4	0.130463	B
0320g	2763	9	0.325733	B
0320h	1905	5	0.262467	B
0320i	4598	10	0.217486	B
0320j	4962	28	0.564289	B
0322a	2941	5	0.17001	B
0322b	2184	8	0.3663	B
0322c	6485	11	0.169622	B
0322d	2437	2	0.082068	B
0322e	2521	10	0.396668	B
0322f	2460	8	0.325203	B
0322g	2688	5	0.186012	B
0322h	2988	17	0.568942	B
0322i	3257	3	0.092109	B
0322j	3312	10	0.301932	B
0323a	638	11	1.724138	B
0323b	2211	7	0.316599	B
0324b	2284	5	0.218914	B
0325a	1577	3	0.190235	B
0325b	552	12	2.173913	B
0329e	2256	5	0.221631	B
0329f	10207	38	0.372294	B
0329g	5578	49	0.878451	B
0329h	1678	6	0.357569	B
0338a	1674	7	0.41816	B
0338b	1024	3	0.292969	B
0340a	3692	21	0.568797	B
0340b	5307	10	0.18843	B
0340c	5961	10	0.167757	B
0341a	3110	12	0.385852	B
0341b	1831	3	0.163845	B
0341c	1400	2	0.142857	B
0341d	1371	1	0.072939	B
0341e	1552	3	0.193299	B
0341g	3677	27	0.734294	B
0342a	1446	1	0.069156	B
0342b	780	2	0.25641	B
0342c	1107	12	1.084011	B
0342d	3933	25	0.635647	B
0342e	1116	4	0.358423	B
0342f	1623	4	0.246457	B
0343a	2157	1	0.046361	B
0343b	2874	2	0.069589	B
0343c	4330	3	0.069284	B
0343d	1762	2	0.113507	B
0343e	2865	1	0.034904	B
0347a	3872	10	0.258264	B
0347b	1372	3	0.218659	B
0347c	1082	3	0.277264	B
0347d	2881	17	0.590073	B
0347e	1776	5	0.281532	B
0347h	2220	6	0.27027	B
0348a	1940	7	0.360825	B
0348b	3132	10	0.319285	B
0348c	1075	8	0.744186	B
0348d	1272	2	0.157233	B
0350a	5713	14	0.245055	B
0350b	3149	5	0.158781	B
0350c	1878	3	0.159744	B
0350d	1946	3	0.154162	B
0350e	1941	6	0.309119	B
0351a	634	1	0.157729	B
0352a	3554	22	0.619021	B
0353a	3672	11	0.299564	B
0353b	3927	9	0.229183	B
0353c	8393	22	0.262123	B
0353d	4476	3	0.067024	B
0353e	7248	21	0.289735	B
0354a	1244	3	0.241158	B
0354c	811	2	0.246609	B
0354d	698	4	0.573066	B
0354e	957	2	0.208986	B
0354f	805	7	0.869565	B
0355a	5703	29	0.508504	B
0356c	4395	36	0.819113	B
0356e	1085	3	0.276498	B
0356g	3726	7	0.187869	B
0357a	1222	1	0.081833	B
0357b	1051	1	0.095147	B
0358a	3912	4	0.102249	B
0358b	1978	3	0.151668	B
0358c	1929	5	0.259202	B
0358d	1258	3	0.238474	B
0358e	1629	2	0.122775	B
0358f	2709	3	0.110742	B
0358g	2666	3	0.112528	B
0360a	701	2	0.285307	B
0360b	1111	8	0.720072	B
0360c	3997	15	0.375281	B
0360d	2898	8	0.276052	B
0360e	3526	13	0.36869	B
0362a	1851	2	0.10805	B
0362b	629	4	0.63593	B
0362d	4591	4	0.087127	B
0362e	3523	11	0.312234	B
0363a	1195	4	0.334728	B
0363b	2714	2	0.073692	B
0363c	2557	7	0.273758	B
0363d	8374	38	0.453786	B
0364a	2263	3	0.132567	B
0364d	2716	5	0.184094	B
0364e	4676	27	0.577417	B
0364f	2247	3	0.133511	B
0364g	3892	3	0.077081	B
0368a	2554	9	0.352388	B
0368b	2466	9	0.364964	B
0370a	2794	11	0.393701	B
0370b	1716	6	0.34965	B
0370c	1686	5	0.29656	B
0374a	3659	8	0.218639	B
0374b	3998	14	0.350175	B
0376a	2664	6	0.225225	B
0377a	3432	6	0.174825	B
0377b	3868	5	0.129266	B
0377c	4481	11	0.245481	B
0378a	3009	4	0.132935	B
0378b	2251	2	0.088849	B
0378c	2167	1	0.046147	B
0380a	3084	17	0.551232	B
0380b	2620	7	0.267176	B
0380c	3030	5	0.165017	B
0380d	3265	6	0.183767	B
0381a	1294	1	0.07728	B
0382b	711	3	0.421941	B
0382c	2637	4	0.151688	B
0383a	2942	19	0.645819	B
0384a	2790	20	0.716846	B
0384b	2841	14	0.492784	B
0384c	2978	15	0.503694	B
0384d	2472	10	0.404531	B
0386b	772	3	0.388601	B
0387a	5533	12	0.216881	B
0387b	5851	18	0.30764	B
0388a	2833	8	0.282386	B
0388b	3022	5	0.165453	B
0388c	1394	1	0.071736	B
0388d	1348	1	0.074184	B
0388e	1296	3	0.231481	B
0388f	1570	4	0.254777	B
0388g	1152	1	0.086806	B
0388h	2711	17	0.627075	B
0389a	2631	4	0.152033	B
0389b	2992	6	0.200535	B
0389c	1423	7	0.491918	B
0389d	1337	6	0.448766	B
0389f	1364	1	0.073314	B
0389g	963	2	0.207684	B
0390a	3384	3	0.088652	B
0390b	3295	14	0.424886	B
0390c	3321	1	0.030111	B
0390d	2078	6	0.288739	B
0391c	2813	3	0.106648	B
0391e	3140	34	1.082803	B
0392a	1742	9	0.516648	B
0392b	2234	19	0.850492	B
0392c	1706	3	0.17585	B
0392d	2363	10	0.423191	B
0393a	3519	5	0.142086	B
0393b	3839	9	0.234436	B
0394a	2984	9	0.301609	B
0396a	1773	2	0.112803	B
0397a	4138	15	0.362494	B
0397b	6924	24	0.34662	B
0397c	5694	15	0.263435	B
0398a	2993	6	0.200468	B
0398b	7393	21	0.284052	B
0398c	3483	6	0.172265	B
0398d	4269	15	0.35137	B
0398e	6155	43	0.698619	B
0399a	2826	2	0.070771	B
0399b	2830	7	0.24735	B
0399c	3792	10	0.263713	B
0399e	3849	15	0.389712	B
0399f	3739	17	0.454667	B
0399g	2776	19	0.684438	B
0401a	3927	12	0.305577	B
0401b	4406	15	0.340445	B
0401c	5583	13	0.23285	B
0402a	6051	23	0.380102	B
0402b	5647	20	0.35417	B
0402c	6365	20	0.314218	B
0403a	5745	9	0.156658	B
0403b	1925	8	0.415584	B
0404b	4044	18	0.445104	B
0404c	4162	19	0.456511	B
0405a	7002	66	0.942588	B
0405b	7026	52	0.740108	B
0405c	686	4	0.58309	B
0405d	679	3	0.441826	B
0406a	3360	8	0.238095	B
0406b	2626	9	0.342727	B
0406c	3361	14	0.416543	B
0406d	6117	12	0.196175	B
0406e	5112	22	0.43036	B
0407a	5736	15	0.261506	B
0407b	7703	14	0.181747	B
0407c	2542	5	0.196696	B
0407d	3387	13	0.38382	B
0408a	3637	8	0.219962	B
0408b	3690	7	0.189702	B
0408c	2365	14	0.591966	B
0408d	1759	1	0.05685	B
0408e	3580	1	0.027933	B
0408f	3635	4	0.110041	B
0409a	3403	6	0.176315	B
0409b	3455	7	0.202605	B
