Text	No. words in text	No. hits in text	Freq. per hundred	language
POLG0211	1757	12	0.682982	A
POLG0221	4162	37	0.888996	A
POLG0231	3972	25	0.629406	A
POLG0241	4663	34	0.729144	A
POLG0251	5609	31	0.552683	A
POLG0261	1524	6	0.393701	A
POLG0271	3322	19	0.571945	A
POLG0281	2788	6	0.215208	A
POLG0291	4804	24	0.499584	A
POLG0301	10466	112	1.070132	A
POLG0311	4888	9	0.184124	A
POLG0321	2705	20	0.739372	A
POLG0322	1686	4	0.237248	A
POLG0331	8754	70	0.799634	A
POLG0341	7861	48	0.610609	A
POLG0351	1068	10	0.93633	A
POLG0371	1579	5	0.316656	A
POLG0381	4571	17	0.37191	A
POLG0391	1741	2	0.114877	A
POLG0401	2095	6	0.286396	A
POLG0411	3586	4	0.111545	A
POLG0421	3469	9	0.259441	A
POLG0431	2501	3	0.119952	A
POLG0441	1101	3	0.27248	A
POLG0451	3247	19	0.585156	A
POLG0452	3279	10	0.304971	A
POLG0461	2701	13	0.481303	A
POLG0471	1791	6	0.335008	A
POLG1011	2854	11	0.385424	A
POLG1021	4802	26	0.541441	A
POLG1031	4909	9	0.183337	A
POLG1041	2269	14	0.617012	A
POLG1051	6898	9	0.130473	A
POLG2011	1152	5	0.434028	A
POLG2021	4314	10	0.231803	A
POLG2031	8641	18	0.208309	A
POLG3011	2529	2	0.079083	A
POLG3021	3620	5	0.138122	A
POLG3031	4889	14	0.286357	A
PSYG0011	4630	8	0.172786	A
PSYG0021	1296	2	0.154321	A
PSYG0022	1750	2	0.114286	A
PSYG0031	4347	14	0.322061	A
PSYG0041	3141	9	0.286533	A
PSYG0051	6199	13	0.209711	A
PSYG0061	1805	3	0.166205	A
PSYG0071	11075	38	0.343115	A
PSYG0081	1544	5	0.323834	A
PSYG0082	1604	4	0.249377	A
PSYG0091	3463	19	0.548657	A
PSYG0101	1095	4	0.365297	A
PSYG0102	665	4	0.601504	A
PSYG0111	1102	2	0.181488	A
PSYG0112	978	2	0.204499	A
PSYG0121	990	1	0.10101	A
PSYG0131	1197	5	0.417711	A
PSYG0141	1798	13	0.723026	A
